source,src_state,src_district,district_code,lgd_district,lgd_state,method,score
PMJAY,GUJARAT,BHARUCH,442,Bharuch,Gujarat,exact_state,100
PMJAY,GUJARAT,BHAVNAGAR,443,Bhavnagar,Gujarat,exact_state,100
PMJAY,GUJARAT,BOTAD,676,Botad,Gujarat,exact_state,100
PMJAY,GUJARAT,Banaskantha,441,Banas Kantha,Gujarat,alias_exact,100
PMJAY,GUJARAT,CHHOTAUDEPUR,668,Chhotaudepur,Gujarat,exact_state,100
PMJAY,GUJARAT,DANG,444,Dangs,Gujarat,alias_exact,100
PMJAY,GUJARAT,DEVBHUMI DWARKA,674,Devbhumi Dwarka,Gujarat,exact_state,100
PMJAY,GUJARAT,Dahod,445,Dahod,Gujarat,exact_state,100
PMJAY,GUJARAT,GIR SOMNATH,675,Gir Somnath,Gujarat,exact_state,100
PMJAY,GUJARAT,Gandhi Nagar,446,Gandhinagar,Gujarat,exact_state,100
PMJAY,GUJARAT,JAMNAGAR,447,Jamnagar,Gujarat,exact_state,100
PMJAY,GUJARAT,JUNAGADH,448,Junagadh,Gujarat,exact_state,100
PMJAY,GUJARAT,KACHCHH,449,Kachchh,Gujarat,exact_state,100
PMJAY,GUJARAT,KHEDA,450,Kheda,Gujarat,exact_state,100
PMJAY,GUJARAT,MAHESANA,451,Mahesana,Gujarat,exact_state,100
PMJAY,GUJARAT,MORBI,673,Morbi,Gujarat,exact_state,100
PMJAY,GUJARAT,Mahisagar,669,Mahisagar,Gujarat,exact_state,100
PMJAY,GUJARAT,NARMADA,452,Narmada,Gujarat,exact_state,100
PMJAY,GUJARAT,NAVSARI,453,Navsari,Gujarat,exact_state,100
PMJAY,GUJARAT,PANCH MAHALS,454,Panch Mahals,Gujarat,exact_state,100
PMJAY,GUJARAT,PATAN,455,Patan,Gujarat,exact_state,100
PMJAY,GUJARAT,PORBANDAR,456,Porbandar,Gujarat,exact_state,100
PMJAY,GUJARAT,RAJKOT,457,Rajkot,Gujarat,exact_state,100
PMJAY,GUJARAT,SURAT,459,Surat,Gujarat,exact_state,100
PMJAY,GUJARAT,Sabarkantha,458,Sabar Kantha,Gujarat,alias_exact,100
PMJAY,GUJARAT,Surendra Nagar,460,Surendranagar,Gujarat,alias_exact,100
PMJAY,GUJARAT,TAPI,641,Tapi,Gujarat,exact_state,100
PMJAY,GUJARAT,VADODARA,461,Vadodara,Gujarat,exact_state,100
PMJAY,GUJARAT,VALSAD,462,Valsad,Gujarat,exact_state,100
PMJAY,HARYANA,AMBALA,58,Ambala,Haryana,exact_state,100
PMJAY,HARYANA,BHIWANI,59,Bhiwani,Haryana,exact_state,100
PMJAY,HARYANA,CHARKI DADRI,701,Charki Dadri,Haryana,exact_state,100
PMJAY,HARYANA,FARIDABAD,60,Faridabad,Haryana,exact_state,100
PMJAY,HARYANA,FATEHABAD,61,Fatehabad,Haryana,exact_state,100
PMJAY,HARYANA,GURUGRAM,62,Gurugram,Haryana,exact_state,100
PMJAY,HARYANA,HISAR,63,Hisar,Haryana,exact_state,100
PMJAY,HARYANA,JHAJJAR,64,Jhajjar,Haryana,exact_state,100
PMJAY,HARYANA,JIND,65,Jind,Haryana,exact_state,100
PMJAY,HARYANA,KAITHAL,66,Kaithal,Haryana,exact_state,100
PMJAY,HARYANA,KARNAL,67,Karnal,Haryana,exact_state,100
PMJAY,HARYANA,KURUKSHETRA,68,Kurukshetra,Haryana,exact_state,100
PMJAY,HARYANA,MAHENDRAGARH,69,Mahendragarh,Haryana,exact_state,100
PMJAY,HARYANA,MEWAT,604,Nuh,Haryana,alias_exact,100
PMJAY,HARYANA,PALWAL,619,Palwal,Haryana,exact_state,100
PMJAY,HARYANA,PANCHKULA,70,Panchkula,Haryana,exact_state,100
PMJAY,HARYANA,PANIPAT,71,Panipat,Haryana,exact_state,100
PMJAY,HARYANA,REWARI,72,Rewari,Haryana,exact_state,100
PMJAY,HARYANA,ROHTAK,73,Rohtak,Haryana,exact_state,100
PMJAY,HARYANA,SIRSA,74,Sirsa,Haryana,exact_state,100
PMJAY,HARYANA,SONIPAT,75,Sonipat,Haryana,exact_state,100
PMJAY,HARYANA,Yamuna Nagar,76,Yamunanagar,Haryana,exact_state,100
