shapeID,shapeName,assigned_state,state_method,district_code,resolve_method,resolve_score,frame_name,frame_state
76128533B18931932305748,Purbi Singhbhum,Jharkhand,centroid,327,alias_exact,100,East Singhbum,Jharkhand
76128533B79263581040575,Ramgarh,Jharkhand,centroid,607,exact_state,100,Ramgarh,Jharkhand
76128533B71439508543442,Ranchi,Jharkhand,centroid,339,exact_state,100,Ranchi,Jharkhand
76128533B49805675626253,Sahibganj,Jharkhand,centroid,340,alias_exact,100,Sahebganj,Jharkhand
76128533B50275440439236,Saraikela-Kharsawan,Jharkhand,centroid,341,exact_state,100,Saraikela Kharsawan,Jharkhand
76128533B15601995412161,Simdega,Jharkhand,centroid,342,exact_state,100,Simdega,Jharkhand
76128533B83278580643229,Bagalkot,Karnataka,centroid,524,alias_exact,100,Bagalkote,Karnataka
76128533B76927648517269,Bangalore,Karnataka,centroid,525,alias_exact,100,Bengaluru Urban,Karnataka
76128533B48075109668277,Bangalore Rural,Karnataka,centroid,526,alias_exact,100,Bengaluru Rural,Karnataka
76128533B74319098136622,Belgaum,Karnataka,centroid,527,alias_exact,100,Belagavi,Karnataka
76128533B92621859299479,Bellary,Karnataka,centroid,528,alias_exact,100,Ballari,Karnataka
