hospital_ref,district_code,state,hospital_type,basic_tier,specialties
HOSP-11213,130,UTTAR PRADESH,Private(For Profit),False,ent|general_medicine|general_surgery|obgyn|oral_maxillofacial|orthopaedics|urology
HOSP-11214,580,TAMIL NADU,Private(For Profit),False,
HOSP-11215,148,UTTAR PRADESH,Private(Not For Profit),False,emergency_room|general_medicine|general_surgery|medical_oncology|obgyn|oral_maxillofacial|orthopaedics|paediatric_cancer|paediatric_medicine|paediatric_surgery|plastic_surgery|radiation_oncology|surgical_oncology|urology
HOSP-11216,118,UTTAR PRADESH,Private(For Profit),False,burns|emergency_room|general_medicine|general_surgery|neonatal|orthopaedics|paediatric_medicine|plastic_surgery|urology
HOSP-11217,701,HARYANA,Public,True,emergency_room|general_medicine
HOSP-11218,118,UTTAR PRADESH,Private(For Profit),False,emergency_room|general_medicine|general_surgery|obgyn|orthopaedics|polytrauma|urology
HOSP-11219,194,BIHAR,Public,True,general_surgery
HOSP-11220,385,CHHATTISGARH,Private(For Profit),False,emergency_room|general_medicine|general_surgery|neonatal|obgyn|paediatric_medicine
HOSP-11221,179,UTTAR PRADESH,Public,True,general_medicine
HOSP-11222,186,UTTAR PRADESH,Public,True,general_medicine
HOSP-11223,70,HARYANA,Public,True,emergency_room|general_medicine
HOSP-11224,578,TAMIL NADU,Private(For Profit),False,burns|cardiology|emergency_room|ent|general_medicine|general_surgery|interventional_neuroradiology|medical_oncology|neonatal|neurosurgery|obgyn|orthopaedics|paediatric_medicine|plastic_surgery|polytrauma|surgical_oncology|urology
HOSP-11225,525,KARNATAKA,Public,True,
HOSP-11226,445,GUJARAT,Public,True,burns|cardiology|ctvs|emergency_room|ent|general_medicine|general_surgery|interventional_neuroradiology|medical_oncology|mental_disorders|neonatal|neurosurgery|obgyn|ophthalmology|oral_maxillofacial|orthopaedics|paediatric_cancer|paediatric_medicine|paediatric_surgery|plastic_surgery|polytrauma|radiation_oncology|surgical_oncology|urology
HOSP-11227,386,CHHATTISGARH,Public,True,emergency_room|general_medicine|general_surgery|obgyn
HOSP-11228,56,UTTARAKHAND,Private(For Profit),False,emergency_room|general_medicine|general_surgery|neonatal|obgyn|orthopaedics|paediatric_medicine
